1874,1
1878,1
1883,1
1887,1
1888,2
1890,2
1891,5
1892,1
1893,1
1894,11
1895,6
1896,10
1897,4
1898,9
1899,4
1900,8
1901,8
1902,2
1903,16
1904,4
1905,4
1906,7
1907,5
1908,5
1909,10
1910,7
1911,4
1912,9
1913,9
1914,19
1915,28
1916,27
1917,14
1918,16
1919,22
1920,26
1921,33
1922,26
1923,22
1924,33
1925,38
1926,48
1927,37
1928,64
1929,72
1930,79
1931,98
1932,133
1933,142
1934,132
1935,136
1936,143
1937,148
1938,125
1939,130
1940,147
1941,143
1942,140
1943,142
1944,138
1945,140
1946,127
1947,148
1948,154
1949,166
1950,175
1951,186
1952,190
1953,192
1954,182
1955,206
1956,212
1957,231
1958,209
1959,215
1960,206
1961,191
1962,216
1963,215
1964,239
1965,236
1966,296
1967,277
1968,313
1969,286
1970,330
1971,356
1972,358
1973,343
1974,333
1975,306
1976,313
1977,315
1978,301
1979,316
1980,334
1981,341
1982,343
1983,333
1984,349
1985,350
1986,361
1987,431
1988,442
1989,411
1990,401
1991,403
1992,424
1993,458
1994,499
1995,546
1996,593
1997,610
1998,670
1999,671
2000,726
2001,799
2002,852
2003,831
2004,944
2005,1064
2006,1217
2007,1251
2008,1400
2009,1533
2010,1440
2011,1597
2012,1600
2013,1797
2014,1890
2015,1856
2016,1558
2017,524
2018,5
2020,1
