year,month,vote_average,comedy
1910,3,6.2,0.5
1910,5,6.0,0.0
1910,6,5.3,0.0
1910,9,6.9,0.0
1910,11,7.0,0.0
1911,1,0.0,1.0
1911,4,6.1,1.0
1911,7,5.8,0.0
1911,9,6.3,1.0
1912,1,3.3,1.0
1912,5,5.0,0.0
1912,10,5.075,0.0
1912,11,5.0,0.0
1913,1,6.0,0.0
1913,5,6.7,0.0
1913,8,5.1,0.0
1913,9,6.4,0.0
1913,10,7.8,0.0
1913,11,5.8999999999999995,0.0
1914,2,5.95,0.5
1914,3,5.85,0.25
1914,4,5.5,1.0
1914,5,5.4,0.0
1914,6,5.833333333333333,0.6666666666666666
1914,7,5.9,1.0
1914,8,6.05,0.5
1914,9,6.7,1.0
1914,11,5.9,1.0
1914,12,5.800000000000001,0.0
1915,1,5.783333333333334,0.16666666666666666
1915,2,5.95,0.5
1915,3,4.675,0.75
1915,4,5.85,0.75
1915,5,4.0,0.0
1915,6,0.0,0.0
1915,8,6.4,1.0
1915,9,7.5,0.0
1915,10,6.233333333333333,0.3333333333333333
1915,11,4.375,0.25
1915,12,4.8,0.0
1916,1,6.0,1.0
1916,2,4.0,1.0
1916,3,5.7,0.0
1916,4,6.4,0.0
1916,5,6.199999999999999,1.0
1916,6,4.9399999999999995,0.4
1916,7,3.15,0.5
1916,8,6.65,0.5
1916,9,6.75,0.5
1916,10,3.2,0.5
1916,11,3.9,0.5
1916,12,5.8,0.4
1917,1,5.225,0.25
1917,3,4.5,1.0
1917,4,6.4,1.0
1917,6,6.7,1.0
1917,8,6.3,0.0
1917,10,6.65,1.0
1917,11,9.5,1.0
1917,12,0.0,0.0
1918,1,7.6,0.0
1918,3,5.875,0.25
1918,4,7.1,1.0
1918,5,4.425,0.0
1918,8,6.333333333333333,1.0
1918,10,6.9,1.0
1918,12,4.8,0.0
1919,1,6.7,0.0
1919,4,7.9,0.0
1919,5,6.26,0.4
1919,6,6.933333333333334,1.0
1919,7,6.3,1.0
1919,8,6.5,1.0
1919,9,6.5,0.5
1919,10,3.9,0.0
1919,11,5.5,0.0
1919,12,6.3999999999999995,0.6666666666666666
1920,1,5.875,0.25
1920,2,6.166666666666667,0.0
1920,3,6.8,0.0
1920,5,7.5,1.0
1920,7,8.5,1.0
1920,8,6.6,0.0
1920,9,6.800000000000001,0.6666666666666666
1920,10,6.1,0.25
1920,11,2.9,0.5
1920,12,7.0,0.75
1921,1,5.233333333333333,0.3333333333333333
1921,2,5.8999999999999995,1.0
1921,3,6.8,0.6666666666666666
